BYLINE,DATE,DATELINE,HEADLINE,LENGTH,PUBLICATION,SECTION,TITLE,SUBJECT
ADAM NAGOURNEY,"January 11, 2016 Monday 00:00 EST",,"Lessons, and Parallels, in Jeb Bush's Failed Run for Governor; First Campaigns",2066 words,The New York Times,US; politics,,POLITICAL PARTIES (91%); US PRESIDENTIAL CANDIDATES 2016 (91%); GOVERNORS (91%); ELECTIONS (90%); US REPUBLICAN PARTY (90%); CAMPAIGNS & ELECTIONS (90%); POLITICAL CANDIDATES (90%); US STATE GOVERNMENT (90%); US PRESIDENTS (89%); POLLS & SURVEYS (89%); US DEMOCRATIC PARTY (89%); PRIMARY ELECTIONS (78%); CONSERVATISM (78%); VOTERS & VOTING (78%); POLITICS (78%); US PRESIDENTIAL ELECTIONS (78%); HEADS OF GOVERNMENT ELECTIONS (78%); REAL ESTATE (77%); HISTORY (69%)
JOE NOCERA,"January 8, 2016 Friday 00:00 EST",,A Way to Start Paying College Athletes; Sports Business,2001 words,The New York Times,SPORTS,,COLLEGE & UNIVERSITY SPORTS (96%); SPORTS & RECREATION (92%); SPORTS (92%); BASKETBALL (91%); COLLEGIATE SPORTS ORGANIZATIONS (90%); EXTRA CURRICULAR ACTIVITIES (90%); WAGES & SALARIES (90%); SPORTS BUSINESS (90%); WRITERS (89%); COACHES & TRAINERS (78%); SCHOOL ATHLETIC STAFF (78%); SPORTS FANS (73%); ADULTS (70%); LITIGATION (69%); MANAGERS & SUPERVISORS (68%); SUITS & CLAIMS (66%)
BEN RATLIFF,"January 8, 2016 Friday 00:00 EST",,Popcast: Jazz in 2015; Popcast,202 words,The New York Times,ARTS; music,,MUSIC (92%); JAZZ & BLUES (90%); MUSIC REVIEWS (90%); PODCASTING (78%); SINGERS & MUSICIANS (77%); MUSIC GROUPS & ARTISTS (72%); ENTERTAINMENT & ARTS AWARDS (71%); GRAMMY AWARDS (71%); POP & ROCK (70%)
RON LIEBER,"January 8, 2016 Friday 00:00 EST",,How Should You Manage Your Money? And Keep It Short; Your Money,1522 words,The New York Times,YOUR-MONEY,,PERSONAL FINANCE (90%); MUTUAL FUNDS (90%); BANKING & FINANCE (89%); WRITERS (89%); INDEX FUNDS (75%); WEALTHY PEOPLE (72%); BUSINESS EDUCATION (70%); TERM LIFE INSURANCE (66%); LIFE INSURANCE (66%)
JOHN OTIS,"January 7, 2016 Thursday 00:00 EST",,"Her College Dreams Delayed, She Slept at Airports; The Neediest Cases",1022 words,The New York Times,NYREGION,,AIRPORTS (91%); CHARITIES (90%); RELIGION (90%); INTERIOR DECORATING (90%); HOMELESS SHELTERS (78%); FURNITURE & FURNISHINGS (76%); CATHOLICS & CATHOLICISM (74%); PHILANTHROPY (74%); REAL ESTATE AGENTS (68%); RELIEF ORGANIZATIONS (63%); HURRICANE SANDY (50%)
SRIDHAR PAPPU,"January 7, 2016 Thursday 00:00 EST",,Meet the New York Bachelors Who Yearn for Something More; The Male Animal,1848 words,The New York Times,FASHION; mens-style,,GAYS & LESBIANS (79%); MEN (72%); MARRIAGE (71%); COURTSHIP & DATING (70%); INTERVIEWS (68%)
THE NEW YORK TIMES,"January 7, 2016 Thursday 00:00 EST",,How We Picked the 52 Places to Go in 2016,492 words,The New York Times,TRAVEL,,DESTINATIONS & ATTRACTIONS (91%); MUSEUMS & GALLERIES (88%); TRAVEL  HOSPITALITY & TOURISM (78%); WRITERS (73%); RESTAURANTS (64%); PHOTOGRAPHY SERVICES (60%)
STEPHEN HOLDEN,"January 7, 2016 Thursday 00:00 EST",,Review: 'Anesthesia' Ponders the Meaningfulness of Life,843 words,The New York Times,MOVIES,,COLLEGE & UNIVERSITY PROFESSORS (77%); PHILOSOPHY (72%); RELIGION (69%); CLERGY & RELIGIOUS VOCATIONS (60%)
MANOHLA DARGIS,"January 7, 2016 Thursday 00:00 EST",,Review: Visiting a Lolita-Land of Sorts With 'Lamb',626 words,The New York Times,MOVIES,,NOVELS & SHORT STORIES (90%); DRAMA LITERATURE (90%); WRITERS (90%); FILM (90%); KIDNAPPING & ABDUCTION (90%); FILM DIRECTORS (90%); HOTELS & MOTELS (74%); PARKING SPACES & FACILITIES (68%)
NEIL GENZLINGER,"January 7, 2016 Thursday 00:00 EST",,Review: 'The Forest' Centers on the Search for a Twin at a Suicide Site in Japan,283 words,The New York Times,MOVIES,,SUICIDE (91%); TWINS & MULTIPLE BIRTHS (90%); HORROR FILMS (90%); CONTENT RATINGS (78%); HALLOWEEN (73%); MOVIE RATINGS (73%); WRITERS (68%)
BEN KENIGSBERG,"January 7, 2016 Thursday 00:00 EST",,"Review: In 'Henry Gamble's Birthday Party,' Sexual Repression (and Clothes) Start to Fall Away",311 words,The New York Times,MOVIES,,ADOLESCENTS (90%); FILM DIRECTORS (90%); FAMILY (90%); GAYS & LESBIANS (90%); FILM (86%); VISUAL ARTISTS (64%)
JEANNETTE CATSOULIS,"January 7, 2016 Thursday 00:00 EST",,"Review: In 'Sweaty Betty,' Two Single Dads and Their Pals Getting Through the Day",303 words,The New York Times,MOVIES,,FILM DIRECTORS (91%); MOVIE INDUSTRY (90%); FILM (90%); SINGLE PARENTS (90%); DOCUMENTARY FILMS (78%); CINEMATOGRAPHY (77%); CHILDREN (73%); MOVIE SOUNDTRACKS (72%)
GLENN KENNY,"January 7, 2016 Thursday 00:00 EST",,"Review: 'Troublemakers: The Story of Land Art,' a Documentary",346 words,The New York Times,MOVIES,,ARTISTS & PERFORMERS (92%); PAINTING (90%); FILM (90%); DOCUMENTARY FILMS (90%); VISUAL ARTISTS (78%); MUSEUMS & GALLERIES (73%); FILM DIRECTORS (72%); PUBLIC TELEVISION (70%); LAKES (68%)
JAY CASPIAN KANG,"January 6, 2016 Wednesday 00:00 EST",,How the Daily Fantasy Sports Industry Turns Fans Into Suckers; Feature,6014 words,The New York Times,MAGAZINE,,FANTASY SPORTS (91%); SPORTS & RECREATION (90%); SPORTS (90%); BASEBALL (89%); SPORTS BUSINESS (89%); BASKETBALL (89%); MARKETING & ADVERTISING EXPENDITURE (72%); SOCCER (71%); DOCUMENTARY FILMS (70%); DOGS (69%); MARKET DEMOGRAPHICS (66%); WAGES & SALARIES (50%)
BILL VLASIC,"January 6, 2016 Wednesday 00:00 EST",,Carmakers Forge Ahead With Electric Vehicles,920 words,The New York Times,BUSINESS,,ELECTRIC VEHICLES (96%); AUTOMOTIVE TECHNOLOGY (94%); AUTOMOBILE MFG (91%); AUTOMAKERS (91%); HYBRID VEHICLES (91%); AUTOMOTIVE MFG (90%); TRADE SHOWS (90%); CONSUMERS (89%); MOTOR VEHICLES (89%); AUTOMOTIVE RESEARCH (78%); MARKET RESEARCH (78%); SPORT UTILITY VEHICLES (78%); AUTOMOTIVE SALES (78%); PRICES (78%); CONSUMER ELECTRONICS MFG (77%); OIL & GAS PRICES (75%); EXECUTIVES (71%); COMMUTING (62%)
NATHANIEL RICH,"January 6, 2016 Wednesday 00:00 EST",,The Lawyer Who Became DuPont's Worst Nightmare; Feature,8684 words,The New York Times,MAGAZINE,,LAWYERS (92%); ENVIRONMENTAL DEPARTMENTS (90%); CHEMICALS & ENVIRONMENT (90%); CHEMICALS (90%); MAMMALS (90%); CHEMICALS MFG (90%); CATTLE RANCHING & FARMING (90%); ENVIRONMENT & NATURAL RESOURCES (90%); MAJOR US LAW FIRMS (90%); WATER POLLUTION (90%); GRANDPARENTS (88%); DAIRY FARMING (78%); AGRICULTURAL WASTES (78%); JOURNALISM (75%); GRANDCHILDREN (73%); LITIGATION (70%); POLLUTION & ENVIRONMENTAL IMPACTS (69%); CONSERVATION (69%); EQUESTRIAN SPORTS (66%); TOXIC & HAZARDOUS SUBSTANCES (59%)
BRIAN X. CHEN,"January 5, 2016 Tuesday 00:00 EST",,"Despite the CES Hype, It's Better to Wait on That 4K TV; Tech Fix",1385 words,The New York Times,TECHNOLOGY; personaltech,,HIGH DEFINITION TELEVISION (94%); TELEVISION INDUSTRY (92%); TELEVISION EQUIPMENT (92%); CONSUMER ELECTRONICS (90%); COMPUTER & ELECTRONICS MFG (90%); CONSUMER ELECTRONICS MFG (90%); MONITORS & DISPLAYS (90%); AUDIO & VIDEO EQUIPMENT MFG (90%); ELECTRONICS (90%); TELEVISION PROGRAMMING (79%); MEDIA CONTENT (79%); INTERVIEWS (79%); TRADE SHOWS (75%); PLASMA TELEVISIONS (74%); SMARTPHONES (73%); MOBILE & CELLULAR TELEPHONES (73%); VIRTUAL REALITY (54%)
DAVID SEGAL,"January 2, 2016 Saturday 00:00 EST",,"Tips for Uber, From a Backseat Driver; The Haggler",833 words,The New York Times,YOUR-MONEY,,CONSUMER PROTECTION (74%); CUSTOMER RELATIONS (64%); PUBLIC RELATIONS (60%)
PHYLLIS KORKKI,"January 2, 2016 Saturday 00:00 EST",,"Telecommuting Can Make the Office a Lonely Place, a Study Says; Applied Science",540 words,The New York Times,BUSINESS,,TELECOMMUTING (96%); MANAGERS & SUPERVISORS (90%); EXPERIMENTATION & RESEARCH (90%); RESEARCH REPORTS (90%); BUSINESS EDUCATION (90%); COLLEGE & UNIVERSITY PROFESSORS (90%); HOME BASED EMPLOYMENT (89%); RECRUITMENT & HIRING (78%); WORK-LIFE BALANCE (78%); INSTANT MESSAGING (66%); INTERVIEWS (64%)
JANE PERLEZ,"January 1, 2016 Friday 00:00 EST",,Nostalgia and Surrealism Infuse Works of Chinese Animation Artist; The Saturday Profile,1292 words,The New York Times,WORLD; asia,,ANIMATION (92%); ARTISTS & PERFORMERS (91%); ANIMATED FILMS (90%); FILM (90%); RELIGION (89%); MOVIE INDUSTRY (89%); CHRISTIANS & CHRISTIANITY (88%); DRAWING & ILLUSTRATION (78%); ARTS FESTIVALS & EXHIBITIONS (78%); VISUAL ARTISTS (78%); CLERGY & RELIGIOUS VOCATIONS (77%); CATHOLICS & CATHOLICISM (76%); FILM FESTIVALS (71%); NOVELS & SHORT STORIES (60%)
By ELIZABETH PATON,"February 29, 2016 Monday",,Philipp Plein: Just Don't Call Him Normal,545 words,The New York Times,Section ; Column 0; Style Desk; Pg. ,,HIP HOP CULTURE (89%); FASHION & APPAREL (89%); RAP MUSIC (88%); CELEBRITIES (78%); POP & ROCK (74%)
By DAN LEVIN,"February 29, 2016 Monday",,A Neighborhood in Despair Transforms Into a Model of Inclusion,1316 words,The New York Times,Section A; Column 0; Foreign Desk; TORONTO JOURNAL; Pg. 6,,SWIMMING (90%); SPORTS (90%); CHILDREN (89%); WATER SPORTS (89%); SPORTS & RECREATION FACILITIES & VENUES (89%); MULTIFAMILY REAL ESTATE (89%); IMMIGRATION (89%); CONDOMINIUMS (89%); RESIDENTIAL CO-OWNERSHIP (89%); WATER PARKS (78%); TEMPORARY SHELTERS (78%); WOMEN (75%); RELIGION (74%); REFUGEES (73%); RESIDENTIAL RENTAL PROPERTY (72%); CITY LIFE (70%); INCOME DISTRIBUTION (70%); POVERTY & HOMELESSNESS (70%); DISPLACED PERSONS (70%); MUSLIMS & ISLAM (69%); SOCIOLOGY (68%); FAMINE (65%); INDICTMENTS (64%)
By NATE CHINEN,"February 29, 2016 Monday",,"Reflecting on Time,Loss and the Power of a Driving Beat",978 words,The New York Times,Section C; Column 0; The Arts/Cultural Desk; Pg. 5,,RECORD RELEASES (90%); ENTERTAINMENT & ARTS AWARDS (89%); GRAMMY AWARDS (89%); JAZZ & BLUES (78%); SINGERS & MUSICIANS (78%); SONG WRITING (78%); MUSIC (77%); WRITERS (67%)
By DAVE CALDWELL,"February 29, 2016 Monday",,"In Uniting Staal Brothers, Rangers Add Heft for Playoff Run",833 words,The New York Times,Section D; Column 0; Sports Desk; Pg. 5,,ICE HOCKEY (91%); SPORTS & RECREATION (90%); TOURNAMENTS (90%); SPORTS AWARDS (90%); CONFERENCE CALLS (71%); MANAGERS & SUPERVISORS (65%); WAGES & SALARIES (63%)
By WILLIAM C. RHODEN. Email: wcr@nytimes.com,"February 29, 2016 Monday",,"For Augmon, U.N.L.V.'s 'Mr. Rebel,' the Time for Opportunity Has Come",947 words,The New York Times,Section D; Column 0; Sports Desk; SPORTS OF THE TIMES; Pg. 4,,COLLEGE & UNIVERSITY SPORTS (90%); COACHES & TRAINERS (89%); SCHOOL ATHLETIC STAFF (89%); BASKETBALL (89%); COLLEGIATE SPORTS ORGANIZATIONS (78%); MANAGERS & SUPERVISORS (78%); SPORTS & RECREATION EVENTS (78%); UNIVERSITY ADMINISTRATION (77%); ANNIVERSARIES (73%); COLLEGES & UNIVERSITIES (72%); BASEBALL (72%); MINORITY GROUPS (66%)
By RACHEL L. SWARNS,"February 29, 2016 Monday",,An Answer to a Mystery About Jackie Robinson,331 words,The New York Times,Section D; Column 0; Sports Desk; UNPUBLISHED BLACK HISTORY; Pg. 6,,STUDENTS & STUDENT LIFE (90%); HISTORY (89%); COLLEGE & UNIVERSITY PROFESSORS (89%); HUMANITIES & SOCIAL SCIENCE (78%); HIGH SCHOOLS (77%); SCHOOL SPORTS (77%); SOCIOLOGY (72%); MIDDLE & JUNIOR HIGH SCHOOLS (72%); TALKS & MEETINGS (69%); POOL & BILLIARDS (66%); ATHLETES (60%); SOCCER (60%); COACHES & TRAINERS (60%)
By LAURA COLLINS-HUGHES,"February 29, 2016 Monday",,"If You Want Nice, Nest Elsewhere, Sonny",453 words,The New York Times,Section C; Column 0; The Arts/Cultural Desk; Pg. 5,,THEATER & DRAMA (90%); THEATER (90%); GENDER & SEX DISCRIMINATION (76%); GAYS & LESBIANS (76%); THEATER COMPANIES (74%); WRITERS (72%); CHRISTMAS (69%); SHOPLIFTING (65%); COMPUTER GAMES (63%); CATS (57%)
By ANDREW E. KRAMER,"February 29, 2016 Monday",,Explosions Kill Rescue Workers and Miners in Russia,377 words,The New York Times,Section A; Column 0; Foreign Desk; Pg. 3,,MINE WORKERS (91%); NATURAL GAS (90%); DISASTER RELIEF (90%); METHANE (90%); WORKPLACE ACCIDENTS (90%); COAL MINING (90%); MINING ACCIDENTS & DISASTERS (90%); EXPLOSIONS (90%); MINE SAFETY REGULATION (89%); COAL INDUSTRY (89%); MINES & MINING (89%); FIRES (89%); INDUSTRIAL ACCIDENTS (78%); WORKPLACE HEALTH & SAFETY (78%); NATURAL DISASTERS (77%); MINE PLANNING & MANAGEMENT (73%); GAS SENSORS (73%); MINING ENGINEERING (73%); IRON & STEEL MILLS (50%)
By ROBIN POGREBIN,"February 29, 2016 Monday",,Israel Museum's Director to Make Way for Successor,189 words,The New York Times,Section C; Column 0; The Arts/Cultural Desk; Pg. 3,,MUSEUMS & GALLERIES (94%); INTERVIEWS (78%); ASSOCIATIONS & ORGANIZATIONS (73%); BUILDING RENOVATION (70%)
By THE ASSOCIATED PRESS,"February 29, 2016 Monday",,Backup's Star Turn Lifts City to a Shootout Win and the League Cup Title,1317 words,The New York Times,Section D; Column 0; Sports Desk; ROUNDUP; Pg. 8,,SPORTS AWARDS (90%); PROFESSIONAL SPORTS (90%); SPORTS (90%); SOCCER TOURNAMENTS (90%); SOCCER (90%); SPORTS & RECREATION (90%); STADIUMS & ARENAS (78%); ATHLETES (72%)
"By MOHAMMED IBRAHIM; Jeffrey Gettleman contributed reporting from Nairobi, Kenya.","February 29, 2016 Monday",,Twin Suicide Bombings Kill at Least 20 as Shabab Violence Intensifies in Somalia,483 words,The New York Times,Section A; Column 0; Foreign Desk; Pg. 7,,BOMBINGS (94%); SUICIDE BOMBINGS (91%); RESTAURANTS (91%); AL-SHABAAB (90%); WOUNDS & INJURIES (90%); BOMBS & EXPLOSIVE DEVICES (90%); TERRORIST ATTACKS (90%); WAR & CONFLICT (90%); EXPLOSIONS (90%); EYEWITNESSES (90%); EMERGENCY VEHICLES (78%); PARAMILITARY & MILITIA (78%); REGIONAL & LOCAL GOVERNMENTS (78%); MUSLIMS & ISLAM (77%); AL-QAEDA (77%); CITY LIFE (77%); ISLAMIC STATE IN IRAQ & THE LEVANT (77%); TERRORIST ORGANIZATIONS (73%); HOTELS & MOTELS (71%); ARMS CONTROL & DISARMAMENT (71%); INTERVIEWS (71%); CIVIL SERVICES (70%); RELIGION (50%)
By THE ASSOCIATED PRESS,"February 29, 2016 Monday",,Johnson's Win Ties Earnhardt,83 words,The New York Times,Section D; Column 0; Sports Desk; SPORTS BRIEFING | AUTO RACING; Pg. 5,,
By AGENCE FRANCE-PRESSE,"February 29, 2016 Monday",,Land Rover BAR Team Wins,32 words,The New York Times,Section D; Column 0; Sports Desk; SPORTS BRIEFING | YACHTING; Pg. 5,,
By THE ASSOCIATED PRESS,"February 29, 2016 Monday",,N.F.L. Salary Cap Increases,46 words,The New York Times,Section D; Column 0; Sports Desk; SPORTS BRIEFING | PRO FOOTBALL; Pg. 5,,WAGES & SALARIES (90%)
By THE ASSOCIATED PRESS,"February 29, 2016 Monday",,Thompson Wins in Thailand,37 words,The New York Times,Section D; Column 0; Sports Desk; SPORTS BRIEFING | GOLF; Pg. 5,,
By THE ASSOCIATED PRESS,"February 29, 2016 Monday",,Uruguayan Defends Title,24 words,The New York Times,Section D; Column 0; Sports Desk; SPORTS BRIEFING | TENNIS; Pg. 5,,
By JIM YARDLEY; Gaia Pianigiani contributed reporting.,"February 29, 2016 Monday",,"With Humility, Starbucks to Enter Italian Market, Where Standards Are High",974 words,The New York Times,Section A; Column 0; Foreign Desk; Pg. 6,,COFFEE & TEA STORES (90%); EXECUTIVES (89%); COFFEE (89%); INTERVIEWS (77%); SOFT DRINKS (76%); FASHION DESIGNERS (74%); SPORTS DRINKS (71%); BEVERAGE PRODUCTS (71%); FASHION SHOWS (69%)
By KAREN CROUSE,"February 29, 2016 Monday",,"For a Natural, Swimming Isn't Always Easy",1239 words,The New York Times,Section D; Column 0; Sports Desk; Pg. 1,,SWIMMING (90%); SPORTS (90%); SPORTS & RECREATION EVENTS (89%); SUMMER OLYMPICS (89%); COLLEGE & UNIVERSITY SPORTS (89%); OLYMPICS (89%); COLLEGIATE SPORTS ORGANIZATIONS (88%); NASCAR RACING (77%); STADIUMS & ARENAS (76%); AUTO RACING (72%); MEN (72%); ATHLETES (71%); INTERVIEWS (66%); FORMULA ONE RACING (57%)
By ANNE BARNARD,"February 29, 2016 Monday",,Day 2 of Syrian Truce Is Marred by Violence,452 words,The New York Times,Section A; Column 0; Foreign Desk; Pg. 8,,ISLAMIC STATE IN IRAQ & THE LEVANT (90%); PARAMILITARY & MILITIA (90%); REBELLIONS & INSURGENCIES (90%); WAR & CONFLICT (90%); ARTILLERY & ORDNANCE (90%); RELIGION (88%); ASSOCIATIONS & ORGANIZATIONS (69%); PREGNANCY & CHILDBIRTH (62%)
By CORINNA da FONSECA-WOLLHEIM,"February 29, 2016 Monday",,Finding Beauty Inside Darkness,757 words,The New York Times,Section C; Column 0; The Arts/Cultural Desk; Pg. 4,,MUSIC COMPOSITION (90%); MUSIC (89%); MUSIC GROUPS & ARTISTS (78%); STRINGED INSTRUMENTS (78%)
By ANNIE CORREAL,"February 29, 2016 Monday",,Punk Emporium and Mecca for Misfits Leaves Its East Village Home,862 words,The New York Times,Section A; Column 0; Metropolitan Desk; Pg. 20,,CLOTHING & ACCESSORIES STORES (90%); MUSIC (90%); RETAILERS (90%); POP & ROCK (90%); MUSIC GROUPS & ARTISTS (78%); CLOSINGS (78%); FUR & LEATHER CLOTHING (78%); ARTISTS & PERFORMERS (78%); SINGERS & MUSICIANS (78%); HAUTE COUTURE (78%); MUSIC STORES (73%); BOOKSTORES (73%); RELOCATIONS (66%); VISUAL ARTISTS (63%); SUBURBS (55%); MOTOR VEHICLES (50%)
By MIKE HALE,"February 29, 2016 Monday",,"Viceland, a New Cable Channel, Expands a Bold Media Brand's Reach",684 words,The New York Times,Section C; Column 0; The Arts/Cultural Desk; Pg. 6,,TELEVISION INDUSTRY (90%); CABLE TELEVISION (90%); MUSIC (89%); HIP HOP CULTURE (78%); MEDIA CONTENT (78%); CHILDREN (77%); VIDEO INDUSTRY (77%); FILM DIRECTORS (75%); INTERNET VIDEO (73%); MUSIC INDUSTRY (70%); DOCUMENTARY FILMS (70%); ENTERTAINMENT & ARTS AWARDS (70%); MARIJUANA (69%); RAP MUSIC (69%); GRAMMY AWARDS (69%); INVESTIGATIONS (68%); RIOTS (67%); CANNABIS (64%); WOUNDS & INJURIES (63%); AFRICAN AMERICANS (62%); GANGS (62%); RESTAURANTS (61%); GUNSHOT WOUNDS (60%)
By ALEXIS SOLOSKI,"February 29, 2016 Monday",,An Intimate Education in Petty Torments,553 words,The New York Times,Section C; Column 0; The Arts/Cultural Desk; Pg. 5,,THEATER & DRAMA (89%); THEATER (89%); CHILDREN (78%); TEACHING & TEACHERS (78%); EDUCATIONAL INSTITUTION EMPLOYEES (78%); ACTORS & ACTRESSES (77%); WOMEN (76%); THEATER COMPANIES (75%); FEMINISM & WOMEN'S RIGHTS (71%); DRAMA LITERATURE (70%); PRIMARY & SECONDARY SCHOOL TEACHERS (69%)
By LIAM STACK,"February 29, 2016 Monday",,Seven Are Facing Charges After Melee at Klan Rally,762 words,The New York Times,Section A; Column 0; National Desk; Pg. 15,,CRIMINAL ASSAULT & BATTERY (90%); PROTESTS & DEMONSTRATIONS (90%); ARRESTS (90%); RACISM & XENOPHOBIA (89%); RACE & ETHNICITY (89%); ETHNIC CONFLICTS (78%); POLICE FORCES (77%); EYEWITNESSES (76%); ELDER ABUSE (72%); PHOTO & VIDEO SHARING (71%); SELF DEFENSE (67%); SOCIAL MEDIA (66%); RESEARCH INSTITUTES (63%); INTERNET SOCIAL NETWORKING (61%)
By BILLY WITZ,"February 29, 2016 Monday",,Pursuit of Intruder at Yankees' Park Has That Rough Spring-Training Feel,806 words,The New York Times,Section D; Column 0; Sports Desk; Pg. 7,,STADIUMS & ARENAS (90%); MAMMALS (90%); BASEBALL (89%); BASEBALL TOURNAMENTS (85%); ANIMALS (74%); LIFE FORMS (74%); SPORTS & RECREATION (66%); TOURNAMENTS (64%)
By CHRISTOPHER SHEA,"February 29, 2016 Monday",,English Opera's Chorus Votes to Strike,407 words,The New York Times,Section C; Column 0; The Arts/Cultural Desk; ARTSBEAT; Pg. 3,,STRIKES (92%); OPERA (91%); MUSIC GROUPS & ARTISTS (90%); LAYOFFS (90%); LABOR UNIONS (89%); WAGES & SALARIES (89%); BUDGETS (89%); BUDGET PLANNING & MANAGEMENT (78%); CULTURE DEPARTMENTS (78%); TALKS & MEETINGS (78%); SINGERS & MUSICIANS (78%); BUDGET PROPOSALS (78%); EMPLOYEE TURNOVER & RETENTION (73%); FREELANCE EMPLOYMENT (70%); EXECUTIVES (70%); CONSULTING SERVICES (70%); MANAGEMENT CONSULTING (70%)
By LAURA MORTON,"February 29, 2016 Monday",,The Silicon Valley Hustle,178 words,The New York Times,Section B; Column 0; Business/Financial Desk; Pg. 8,,INCOME DISTRIBUTION (71%)
By LAURA MORTON,"February 29, 2016 Monday",,The Silicon Valley Hustle,178 words,The New York Times,Section B; Column 0; Business/Financial Desk; Pg. 8,,INCOME DISTRIBUTION (71%)
By JOHN ELIGON,"February 29, 2016 Monday",,Poor Scores Leave Afrocentric School Vulnerable,1594 words,The New York Times,Section A; Column 0; National Desk; Pg. 9,,STUDENTS & STUDENT LIFE (90%); PRIMARY & SECONDARY SCHOOL TEACHERS (89%); EDUCATION SYSTEMS & INSTITUTIONS (89%); PUBLIC SCHOOLS (89%); ACADEMIC TESTING (89%); EDUCATIONAL INSTITUTION EMPLOYEES (89%); AFRICAN AMERICANS (79%); CLOSINGS (78%); TEACHING & TEACHERS (78%); ETHNIC & CULTURAL STUDIES (78%); STANDARDIZED ACADEMIC TESTING (78%); TEACHING MATERIALS & MEDIA (78%); RACE & ETHNICITY (73%); POVERTY & HOMELESSNESS (71%); CHARTER SCHOOLS (70%); TEACHER UNIONS (68%); BUDGETS (50%); BUDGET CUTS (50%)
By STEPHEN HOLDEN,"February 29, 2016 Monday",,Roots of a Rock Radio Revolution,436 words,The New York Times,Section C; Column 0; The Arts/Cultural Desk; Pg. 4,,MUSIC (90%); SINGERS & MUSICIANS (90%); RADIO FORMATS (90%); POP & ROCK (90%); JAZZ & BLUES (90%); SONG WRITING (78%); CUSTOMS & CULTURAL HERITAGE (77%); ADOLESCENTS (76%); ACTORS & ACTRESSES (73%); FOLK & WORLD MUSIC (73%); BABY BOOMERS (72%)
By STEPHEN HOLDEN,"February 29, 2016 Monday",,"A Nightclub Era Relived, Via Gershwin and More",377 words,The New York Times,Section C; Column 0; The Arts/Cultural Desk; Pg. 2,,MUSIC (90%); NIGHTCLUBS (90%); ACTORS & ACTRESSES (90%); MUSICAL INSTRUMENTS (90%); POP & ROCK (78%); THEATER (78%); MUSICAL THEATER (78%); KEYBOARD INSTRUMENTS (78%); ARTISTS & PERFORMERS (78%); TONY AWARDS (74%)
By STEVE LOHR,"February 29, 2016 Monday",,Start-Up Lessons in Speed and Practicality From the Once-Again Hot Field of A.I.,800 words,The New York Times,Section B; Column 0; Business/Financial Desk; BITS; Pg. 4,,ARTIFICIAL INTELLIGENCE (93%); COMPUTER SOFTWARE (89%); EDUCATIONAL SOFTWARE (78%); ENTREPRENEURSHIP (78%); COMPUTER SCIENCE (78%); GENERAL PARTNERSHIPS (78%); TEACHING MATERIALS & MEDIA (78%); VENTURE CAPITAL (78%); BUSINESS ANALYTICS (77%); CLOUD COMPUTING (73%); BIG DATA (67%)
By CHRISTOPHER SHEA,"February 29, 2016 Monday",,English Opera's Chorus Votes to Strike,407 words,The New York Times,Section C; Column 0; The Arts/Cultural Desk; ARTSBEAT; Pg. 3,,STRIKES (92%); OPERA (91%); MUSIC GROUPS & ARTISTS (90%); LAYOFFS (90%); LABOR UNIONS (89%); WAGES & SALARIES (89%); BUDGETS (89%); BUDGET PLANNING & MANAGEMENT (78%); CULTURE DEPARTMENTS (78%); TALKS & MEETINGS (78%); SINGERS & MUSICIANS (78%); BUDGET PROPOSALS (78%); EMPLOYEE TURNOVER & RETENTION (73%); FREELANCE EMPLOYMENT (70%); EXECUTIVES (70%); CONSULTING SERVICES (70%); MANAGEMENT CONSULTING (70%)
By TYLER KEPNER,"February 29, 2016 Monday",,Former Catcher Piazza Admires the Mets' Pitching,994 words,The New York Times,Section D; Column 0; Sports Desk; ROUNDUP; Pg. 6,,SPORTS & RECREATION EVENTS (89%); BASEBALL (89%); SPORTS & RECREATION (78%); SPORTS (78%); MOTOR VEHICLES (77%); WINERIES (74%); NEW CAR DEALERS (70%); TEXT MESSAGING (53%)
